"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF16BC198","BO1","5/29/2010 4:20:53 PM","24","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 4:21:00 PM","22","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 4:21:09 PM","20","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 4:24:10 PM","1E","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 4:24:11 PM","1E","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 4:24:17 PM","1C","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 4:24:18 PM","1C","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 4:26:38 PM","1A","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 4:28:04 PM","18","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 4:28:35 PM","16","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 5:06:20 PM","04","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 5:08:45 PM","03","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 5:08:46 PM","03","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 5:12:46 PM","02","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","BO1","5/29/2010 5:12:47 PM","02","110","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","GRA","6/17/2010 4:47:45 AM","12","140","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","GRA","6/17/2010 4:47:45 AM","14","140","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1BF16BC198","GRA","6/17/2010 4:47:45 AM","16","140","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
