site_code,site_name,site_type,site_type_name,start_date,end_date,config_id,rkm,rkm_total,geometry,sthd_DPS,sthd_MPG,sthd_POP_NAME,sthd_TRT_POPID,sthd_GSI_Group
0HR,Henrys Instream Array,INT,Instream Remote Detection System,2022-07-26T00:00:00Z,NA,100,522.303.416.047,1288,"c(-113.624685, 44.896901)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
18M,Eighteenmile Creek,INT,Instream Remote Detection System,2014-05-01T00:00:00Z,2015-11-26T00:00:00Z,100,522.303.416.092.001,1334,"c(-113.35366, 44.682795)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
ACB,Asotin Cr. at Cloverland Brdg.,INT,Instream Remote Detection System,2009-07-30T00:00:00Z,2017-09-15T00:00:00Z,100,522.234.005,761,"c(-117.108679, 46.325584)",Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s,LSNAKE
ACM,Asotin Creek near mouth,INT,Instream Remote Detection System,2011-08-01T00:00:00Z,2012-08-30T00:00:00Z,100,522.234.001,757,"c(-117.055707, 46.341368)",Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s,LSNAKE
AFC,No./So. Fk Asotin Cr. Jct. ISA,INT,Instream Remote Detection System,2009-07-30T00:00:00Z,2018-10-26T00:00:00Z,100,522.234.025,781,"c(-117.292147, 46.272487)",Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s,LSNAKE
AGC,"Agency Creek, Lemhi R. Basin",INT,Instream Remote Detection System,2013-10-21T00:00:00Z,2016-11-06T12:00:00Z,100,522.303.416.039.001,1281,"c(-113.639543, 44.956739)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BBA,Big Bear Creek Array,INT,Instream Remote Detection System,2018-03-02T00:00:00Z,2021-02-01T12:00:00Z,100,522.224.024.023.002,795,"c(-116.650795, 46.627882)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
BHC,Bohannon Creek Lemhi R Basin,INT,Instream Remote Detection System,2011-10-06T16:15:06Z,2013-10-16T00:00:00Z,100,522.303.416.017.001,1259,"c(-113.746897, 45.112189)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BRC,Bear Valley Adult Video Weir,INT,Instream Remote Detection System,2012-06-28T00:00:00Z,NA,100,522.303.319.170.006,1320,"c(-115.284171, 44.427939)",Snake River Basin Steelhead DPS,Salmon River,Middle Fork Salmon River upper mainstem,MFUMA-s,MFSALM
BSC,Big Sheep Creek ISA at km 6,INT,Instream Remote Detection System,2010-10-01T00:00:00Z,NA,100,522.308.032.006,868,"c(-116.850735, 45.506482)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
BTC,Big Timber Creek,INT,Instream Remote Detection System,2010-01-20T00:00:00Z,2013-10-15T11:31:00Z,100,522.303.416.089.001,1331,"c(-113.37041, 44.68811)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BTL,"Lower Big Timber, Lemhi Basin",INT,Instream Remote Detection System,2013-10-16T00:00:00Z,2016-10-19T00:00:00Z,100,522.303.416.089.001,1331,"c(-113.374118, 44.697568)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BTM,Big Timber Creek - Middle,INT,Instream Remote Detection System,2015-03-19T00:00:00Z,2018-05-18T00:00:00Z,100,522.303.416.089.005,1335,"c(-113.377624, 44.660444)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BTU,Big Timber Creek - Upper,INT,Instream Remote Detection System,2015-08-18T00:00:00Z,2015-10-15T13:30:00Z,100,522.303.416.089.011,1341,"c(-113.397036, 44.61386)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
CAC,Canyon Creek ISA @ km 1,INT,Instream Remote Detection System,2010-11-01T00:00:00Z,2017-11-17T11:00:00Z,100,522.303.416.090.001,1332,"c(-113.365281, 44.69109)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
CCA,Lower Charley Creek ISA,INT,Instream Remote Detection System,2009-08-07T00:00:00Z,2010-04-11T00:00:00Z,80,522.234.022.001,779,"c(-117.282497, 46.288458)",Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s,LSNAKE
CCU,Catherine Creek at Union,INT,Instream Remote Detection System,2018-12-19T00:00:00Z,NA,100,522.271.232.025,1050,"c(-117.900689, 45.215252)",Snake River Basin Steelhead DPS,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s,GRROND
CCW,Catherine Creek Ladder/Weir,INT,Adult Fishway,2015-03-02T00:00:00Z,2022-04-20T04:30:00Z,100,522.271.232.032,1057,"c(-117.828617, 45.190964)",Snake River Basin Steelhead DPS,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s,GRROND
CEY,Cearley Creek Side Channel,INT,Instream Remote Detection System,2016-01-01T00:00:00Z,2018-11-20T18:00:00Z,100,522.303.591.009,1425,"c(-114.72164, 44.339059)",Snake River Basin Steelhead DPS,Salmon River,Salmon River upper mainstem,SRUMA-s,UPSALM
