site_code,site_name,site_type,site_type_name,start_date,end_date,rkm,rkm_total,site_description,geometry,sthd_DPS,sthd_MPG,sthd_POP_NAME,sthd_TRT_POPID,sthd_GSI_Group
0HR,Henrys Instream Array,INT,Instream Remote Detection System,2022-07-26T00:00:00Z,NA,522.303.416.047,1288,This site is 3.2 km below the confluence of Hayden Creek and the Lemhi River on private land near Lemhi Idaho. This is a single pass array consisting of three 20ft HDPE Biomark antennas. This is powered by a four panel solar system with four 115 ah batteries. This site is utilized as a checkpoint and one of the first arrays that juvenile fish tagged by IDFG at two rotary screw traps in Hayden Creek and the upper Lemhi trap encounter. ,"c(-113.624685, 44.896901)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
18M,Eighteenmile Creek,INT,Instream Remote Detection System,2014-05-01T00:00:00Z,2015-11-26T00:00:00Z,522.303.416.092.001,1334,"An in-stream detection system on Eighteenmile Creek located approximately 300 meters upstream from the confluence with Texas Creek to form the Lemhi River.  This detection system is comprised of two arrays installed serially with one 10 ft. ABS antenna at each array location.  18M is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the summer of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.","c(-113.35366, 44.682795)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
ACB,Asotin Cr. at Cloverland Brdg.,INT,Instream Remote Detection System,2009-07-30T00:00:00Z,2017-09-15T00:00:00Z,522.234.005,761,"ACB is a permanent instream PIT tag interrogation site located near Cloverland Bridge (RKM 4.5) on Asotin Creek, a tributary of the Snake River. As of 10/23/2018 all previous components present at ACB have been replaced and upgraded. The site consists of 2 rows of antennas with each row containing one 20-foot and one 10-foot HDPE antenna, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at ACB until further notice. Prior to the upgrade, the site consisted of three antennas powered by an FS1001M.","c(-117.108679, 46.325584)",Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s,LSNAKE
ACM,Asotin Creek near mouth,INT,Instream Remote Detection System,2011-08-01T00:00:00Z,2012-08-30T00:00:00Z,522.234.001,757,"ACM is a permanent instream PIT tag interrogation site located near the mouth of Asotin Creek, a tributary of the Snake River. As of 10/12/2018 all previous components present at ACM have been replaced and upgraded. The site consists of 3 rows of antennas with each row containing two 20- foot HDPE antennae, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at ACM until further notice. Prior to the upgrade, the site consisted of six antennas powered by an FS1001M.","c(-117.055707, 46.341368)",Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s,LSNAKE
AFC,No./So. Fk Asotin Cr. Jct. ISA,INT,Instream Remote Detection System,2009-07-30T00:00:00Z,2018-10-26T00:00:00Z,522.234.025,781,"AFC is a permanent instream PIT tag interrogation site located at the confluence of the North and South Forks Asotin Creek, a tributary of the Snake River. As of 10/25/2018 all previous components present at AFC have been replaced and upgraded. The site consists of a single 20-foot antenna in the North Fork (antenna ID 1), a single 15-foot antenna in the South Fork (antenna ID 2) and two rows containing a 20 and 15-foot antenna each (antenna IDs 3-6) in the mainstem of Asotin Creek below the confluence. All new antennas are constructed of HDPE and installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at AFC until further notice. Prior to the upgrade, the site consisted of six muxed antennas powered by an FS1001M.","c(-117.292147, 46.272487)",Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s,LSNAKE
AGC,"Agency Creek, Lemhi R. Basin",INT,Instream Remote Detection System,2013-10-21T00:00:00Z,2016-11-06T12:00:00Z,522.303.416.039.001,1281,"In-stream detection system consisting of a triple array located in Agency Creek. The array (AGC) is located 1.1 km upstream of the confluence with the Lemhi River and is comprised of 3 arrays, deployed serially at about 10 m apart, of one 10 ft PVC pipe pass-by antenna each. The Agency Creek array site is located 30 meters upstream of the culvert on Old Idaho 28 road. AGC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. Site electricity comes from the adjacent electrical service lines and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.. Site was decommissioned June 2017, last data recieved November 2016.","c(-113.639543, 44.956739)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BBA,Big Bear Creek Array,INT,Instream Remote Detection System,2018-03-02T00:00:00Z,2021-02-01T12:00:00Z,522.224.024.023.002,795,"The Big Bear Creek Array is located in Big Bear Creek about 1.3 river kilometers from the confluence with the Potlatch River. Two 40 ft. Biomark litz cord antennas in series powered by two stand-alone IS1001 readers, replaced the previous configuration of two 20 ft. antennas in one row and a QuBE-IS1001 controller in February 2021.","c(-116.650795, 46.627882)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
BHC,Bohannon Creek Lemhi R Basin,INT,Instream Remote Detection System,2011-10-06T16:15:06Z,2013-10-16T00:00:00Z,522.303.416.017.001,1259,"In-stream detection system consisting of two 5ft x 3ft HDPE pipe antennas connected to standalone Bioamrk IS1001 readers. The site is located 40 m upstream of the confluence with the Lemhi River. The Bohannon Creek array site is located 0.3 km off of the Old Lemhi Road. The site is powered by AC and a battery switcher. Remote communication is provided by a 4G cellular modem. The site was originally installed in 2011 about half a kilometer upstream of its current location, to which it was relocated in 2013.","c(-113.746897, 45.112189)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BRC,Bear Valley Adult Video Weir,INT,Instream Remote Detection System,2012-06-28T00:00:00Z,NA,522.303.319.170.006,1320,"On June 28, 2012, the Tribes, with assistance from Biomark, installed a pass-through interrogation system on the existing Bear Valley Creek Chinook adult monitoring weir to evaluate the returns of PIT tagged adults to Bear Valley Creek, Idaho.  The interrogation site consists of two 24 x 24 inch Biomark pass-through antennas attached to the video chamber box, separated by six feet to provide upstream and downstream detection capability.  The antenna cables are woven across the weir panels to the central mux, located in a weather resistant, insulated and fan cooled cargo trailer adjacent to the weir.  Power is supplied by four tandem 50 amp-hour 12 volt DC batteries under constant charge from the on-site camp trailer generator.  The in-stream location is characterized as a B-type channel with 2-4 percent grade, a B-type streambed, and a 2-3 (boulder:cobble) steam type.","c(-115.284171, 44.427939)",Snake River Basin Steelhead DPS,Salmon River,Middle Fork Salmon River upper mainstem,MFUMA-s,MFSALM
BSC,Big Sheep Creek ISA at km 6,INT,Instream Remote Detection System,2010-10-01T00:00:00Z,NA,522.308.032.006,868,"In-stream detection system consisting of a tandem array located in Big Sheep Creek. The array (BSC) located at river km 6 (N 45.50649, W -116.85067) consists of two arrays , deployed serially 10 m apart, of two 20 ft Biomark flat panel antennas each. BSC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on October 20, 2010. The array includes ISEMP standard site monitoring equipment including air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a thermal electric generator and remote communication provided by a satellite modem.","c(-116.850735, 45.506482)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
