spawn_yr,n_tags,n_tag_kelt_grs,n_tag_kelt_dwn,n_tag_kelt_grs_dwn,grs_kelt_det_p,grs_kelt_det_se,est_tag_kelt_lgr,kelt_rate
2010,4092,18,451,5,0.011086474501108648,0.0049304620311790065,1623.6,0.39677419354838706
2011,4709,116,438,24,0.0547945205479452,0.01087413262859855,2117,0.44956466341049056
2012,4957,77,490,20,0.04081632653061224,0.008938606248837255,1886.5000000000002,0.3805729271736938
2013,4416,33,411,7,0.0170316301703163,0.006382296405406666,1937.5714285714287,0.4387616459627329
2014,4489,59,530,10,0.018867924528301886,0.005910005260077503,3127,0.6965916685230563
2015,4772,26,425,7,0.01647058823529412,0.006173817192453097,1578.5714285714284,0.3307987067417075
2016,5004,83,542,29,0.05350553505535055,0.009666266214763077,1551.2413793103449,0.31000027564155574
2017,4494,26,301,3,0.009966777408637873,0.0057255737882822635,2608.666666666667,0.5804776739356179
2018,2871,110,334,17,0.05089820359281437,0.012026365305718233,2161.176470588235,0.7527608744647284
2019,2404,102,325,13,0.04,0.01086985952778812,2550,1.0607321131447587
2020,2741,293,242,63,0.2603305785123967,0.02820809393865626,1125.4920634920634,0.4106136678190673
2021,4094,490,298,109,0.36577181208053694,0.027900999090134913,1339.6330275229357,0.32721861932655977
2022,2305,377,215,68,0.31627906976744186,0.03171432218418437,1191.985294117647,0.5171302794436646
2023,3615,498,284,98,0.34507042253521125,0.028209279890216706,1443.1836734693877,0.3992209331865526
2024,3779,345,292,70,0.23972602739726026,0.02498338209235416,1439.142857142857,0.3808263713000416
