spawn_yr,n_tags,n_tag_kelt_grs,n_tag_kelt_dwn,n_tag_kelt_grs_dwn,grs_kelt_det_p,est_tag_kelt_lgr,kelt_rate
2010,4092,7,174,3,0.015742952699474438,186,0.045454545454545456
2011,4709,51,160,7,0.02745615302158328,656.3333333333334,0.1393784950803426
2012,4957,26,170,5,0.022357723577235773,484,0.09763970143231794
2013,4416,13,222,4,0.016974789915966387,306,0.06929347826086957
2014,4489,34,273,8,0.023002300230023,734.6666666666667,0.1636593153634811
2015,4772,14,272,2,0.004081632653061224,635,0.13306789606035205
2016,5004,47,292,12,0.04614755491831904,1239,0.2476019184652278
2017,4494,13,130,1,0.0071428571428571435,70,0.01557632398753894
2018,2871,41,123,6,0.030017217805236238,510.6666666666667,0.17787066062928134
2019,2404,39,147,6,0.038656267104542966,386,0.1605657237936772
2020,2741,131,108,28,0.27002206287920577,523.2272727272727,0.19088919107160626
2021,4094,257,147,58,0.39239577180160345,668.7166666666667,0.16334066113010912
2022,2305,184,107,30,0.3274582560296846,678.3,0.29427331887201735
2023,3615,271,151,54,0.4014616390474514,803.2414141414141,0.2221967950598656
2024,3779,176,165,36,0.2354239984717011,1189.8846153846155,0.3148675880880168
