spawn_yr,n_tags,n_tag_kelt_grs,n_tag_kelt_dwn,n_tag_kelt_grs_dwn,grs_kelt_det_p,est_tag_kelt_lgr,kelt_rate
2010,4092,18,451,5,0.03898433742183742,2466,0.6026392961876833
2011,4709,116,438,24,0.05258658147285829,2447.75,0.5198025058398811
2012,4957,77,491,20,0.025262237762237762,1748.2222222222222,0.3526774706923991
2013,4416,33,411,7,0.00941166641348929,2468.5,0.558990036231884
2014,4489,59,530,10,0.015404637315048719,2490,0.5546892403653375
2015,4772,26,426,7,0.015447631072631073,1283,0.26886001676445936
2016,5004,83,543,29,0.04629572737099619,1458,0.29136690647482016
2017,4494,26,301,3,0.007442348008385744,580,0.1290609701824655
2018,2871,110,334,17,0.019648089545241443,1881.1999999999998,0.655242075931731
2019,2404,102,325,13,0.029475594618285358,2418,1.0058236272878536
2020,2741,293,245,63,0.1412779835977328,1131.9545454545455,0.4129713774004179
2021,4094,490,300,109,0.22620830150241913,1321.8758865248226,0.3228812619747979
2022,2305,377,217,68,0.21747086247086247,1247.1666666666667,0.5410701373825019
2023,3615,498,286,98,0.28893347548809734,1456.1568627450981,0.4028096439128902
2024,3779,345,295,70,0.24058107643507304,1431.4179487179488,0.37878220394759166
